question,ground_truth,slm_only_answer,vector_answer,local_answer,global_answer,llm_answer,error_type,best_answer,failure_reason,notes
Erving Goffman was cited as higher than a literary critic on which guide?,The Times Higher Education Guide,The Social Sciences Citation Index (SSCI) or,I don't know,The Times Higher Education Guide,I don't know,Times Higher Education Guide.,,,,
What crossroads is the town located 10 km north of the Charcoal Tank Nature Reserve located?,Newell Highway,"The exact crossroads cannot be determined, but the town is located 10 km",I don't know,The town located 10 km north of the Charcoal Tank Nature Reserve is West Wyalong. It can be accessed via the Newell Highway and The Charcoal Tank Road.,"The town located 10 km north of the Charcoal Tank Nature Reserve is West Wyalong, New South Wales. The town is strategically located at the crossroads of major highways connecting Melbourne, Brisbane, Sydney, and Adelaide. However, the specific crossroads are not mentioned in the provided context.",The crossroads near 10 km north of the Charcoal Tank Nature Reserve is likely near the Newell Highway.,,,,
"""You Are"" is a song from which Pearl Jam album dealing with the September 2001 terrorist attacks?",Riot Act,"""Binaural""",I don't know,"""You Are"" is a song from the Pearl Jam album ""Riot Act"". The album deals with mortality and existentialism, influenced by the political climate after the September 11, 2001 terrorist attacks.",I don't know,Riot Act,,,,
"Which of the campaign that brought out the term Vichy Republican on social media was formally launched on June 16, 2015, at Trump Tower in New York City?",presidential campaign of Donald Trump,Trump Tower GOP Primary Campaign,"The campaign that brought out the term Vichy Republican on social media and was formally launched on June 16, 2015, at Trump Tower in New York City was Donald Trump's 2016 presidential campaign.","The campaign that brought out the term Vichy Republican on social media and was formally launched on June 16, 2015, at Trump Tower in New York City is the 2016 presidential campaign of Donald Trump.","The campaign that brought out the term Vichy Republican on social media and was formally launched on June 16, 2015, at Trump Tower in New York City was Donald Trump's 2016 presidential campaign.",Donald Trump's presidential campaign.,,,,
Town's first season in their new stadium was under the leadership of an English Football manager who was born when?,1 December 1948,Sir Alex Ferguson was born in 1941.,"Neil Warnock, born in 1948.",1 December 1948,I don't know,"The question lacks specific details about the team or manager, so I cannot provide an answer.",,,,
"Besides the song ""OK Computer"" what did the same band record in 1995?","""Lucky""","Radiohead, they recorded the album ""The Bends"" in 1995.",I don't know,"In 1995, the same band, Radiohead, recorded the song ""Lucky.""",I don't know,"Radiohead recorded the album ""The Bends"" in 1995.",,,,
"Norman Buckley is associated with a family drama for what cable network, formerly known as ABC Family?",Freeform,Freeform (formerly known as ABC Family),The Fosters,Freeform (previously named ABC Family),I don't know,Freeform,,,,
Which of Darren Aronofsky's movies is based on a Russian ballet?,Swan Lake,"No, Darren Aronofsky's movies, including ""Black Swan,"" are not based on Russian ballets",Black Swan,"""Black Swan"" is the Darren Aronofsky movie that is based on a Russian ballet. The plot revolves around a production of Tchaikovsky's ""Swan Lake"" ballet by a prestigious New York City company.",I don't know,"""Black Swan"" is based on a Russian ballet.",,,,
"Van Andel Institute was founded in part by what American businessman, who was best known as co-founder of the Amway Corporation?",Jay Van Andel,"Richard DeVos, the co-founder of the Amway Corporation.",I don't know,Jay Van Andel,"Robert L. Johnson, the African American entrepreneur and media magnate who co-founded Black Entertainment Television (BET) and established himself as the first black American billionaire. However, the question seems to be mixing two different contexts. The Van Andel Institute was not founded by Robert L. Johnson but by Jay Van Andel and Richard DeVos. They were best known as co-founders of Amway Corporation. The information provided does not contain details about Van Andel Institute's founding. Therefore, the answer is Jay Van Andel and Richard DeVos.",Jay Van Andel.,,,,
Who was born first David Draiman or Terry Kath?,David Michael Draiman,Terry Kath was born first.,"Terry Kath was born first on January 31, 1946, while David Draiman was born later on March 13, 1973. Therefore, Terry Kath was born before David Draiman.","David Draiman was born first. David Michael Draiman was born on March 13, 1973, while Terry Alan Kath was born on January 31, 1946. Therefore, Terry Kath was born 27 years earlier than David Draiman.",I don't know,Terry Kath was born first.,,,,
"Which was released later, The Strongest Man in the World, or Roving Mars?",Roving Mars,"""Roving Mars"" was released later, in 1953, compared to ""The",I don't know,Roving Mars was released earlier than The Strong,I don't know,Roving Mars was released later.,,,,
Are Skeptical Inquirer and The Progressive Populist both tabloid-style magazines?,no,"No, neither",I don't know,"No, based on the provided information, Skeptical Inquirer is a bimonthly magazine focused on science and reason, while The Progressive Populist is a magazine in tabloid newspaper format published twice monthly, with a focus on various topics. They differ in their publication style, frequency, and content focus. Skeptical Inquirer is not described as a tabloid-style magazine.",I don't know,"No, neither Skeptical Inquirer nor The Progressive Populist are tabloid-style magazines.",,,,
"What group of languages is the surname Gref, meaning ""Grave,"" taken from?",Germanic,"The surname Gref is of Slavic origin, specifically from the Polish language. It is derived from the word ""grab,"" which means ""grave"" or ""pit.""",Frisian language,"The surname Gref, meaning ""Grave,"" is taken from Old German, as it is spelled and pronounced the same in Old German as in modern German and English. It is of Germanic origin.",I don't know,Germanic languages.,,,,
What theory was advanced by the author of Progress in Optics?,theory of direct scattering and inverse scattering,"The author of ""Progress in Optics"" is Richard K. Willis. In this work, he advanced the theory of nonlinear optics, which deals with the behavior of light in nonlinear media, where the response of the medium to the light is not directly proportional to the light intensity.",I don't know,"The author of Progress in Optics, Emil Wolf, advanced theories in physical optics, including diffraction, coherence properties of optical fields, spectroscopy of partially coherent radiation, and the theory of direct scattering and inverse scattering. These advancements are part of modern optics, which developed significantly in the 20th century.",I don't know,"The Wolf Effect, related to changes in the spectrum of light due to scattering.",,,,
"When was the female character that on June 9, 2015 was promoted to a series regular first introduced on ""Once Upon a Time""?",the second half of the third season,"Emma Swan was promoted to a series regular on June 9, 2015, and she was first introduced in the series in Season 1, Episode 1, which aired on October 2, 2010.",I don't know,"The female character, Zelena / Wicked Witch of the West, was first introduced in the second half of the third season of ""Once Upon a Time"".","The context does not provide enough information to answer the question. I'm sorry, but the provided context does not contain any information regarding a female character from ""Once Upon a Time"" who was promoted to a series regular on June 9, 2015.","Zelena was first introduced in Season 3 of ""Once Upon a Time.""",,,,
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,Women's FIFA World Cup,The FIFA Women's World Cup.,"The international football competition for women that Liu Ailing played in the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.","The international football competition for women that Liu Ailing played in the 1991, 1995, and 1999 editions is the FIFA Women's World Cup. The Arsenal Women Football Club, which is part of the Arsenal community, is recognized as the most successful club in English women's football and has contributed to the growth of the sport, including competitions like the FIFA Women's World Cup.",FIFA Women's World Cup.,,,,
 The Type 90 tank built by Mitsubishi Heavy Industries is to be superseded by what generation of main battle tank of the Japanese Ground Self Defense Force?,4th,The Type 10 main battle tank is set to supersede the Type 90 tank in the Japanese Ground Self Defense Force.,The Type 10 tank.,"The Type 90 tank built by Mitsubishi Heavy Industries is to be superseded by the Type 10 tank, which is a 4th generation main battle tank of the Japanese Ground Self Defense Force (JSDF).",I don't know,Fourth-generation main battle tank (Type 10).,,,,
Which show co-hosted by Hoda Kotb was produced by Brian Balthazar?,the fourth hour of the TODAY Show,The Today Show co-hosted by Hoda Kotb was produced by Brian Balthazar.,The Today Show,"The show co-hosted by Hoda Kotb that was produced by Brian Balthazar is the fourth hour of the ""Today Show"" on NBC, which she co-hosted with Kathie Lee Gifford.",I don't know,"The fourth hour of the ""Today"" show.",,,,
Who was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences?,Mani,Lil Cuz was the winner of the season of The Rap Game where Lady Leshurr,The winner of the season of The Rap Game where Lady Leshurr was mentioned as an influence is Nova.,"The winner of the season of The Rap Game where a contestant named Lady Leshurr was mentioned as an influence was Mani. This information is derived from the evidence chunks stating that ""The Rap Game"" season 2 competitor Nia Kay stated that Leshurr was one of her influences, and the winners of seasons 1, 2, and 3 were Miss Mulatto, Mani, and Nova, respectively. Therefore, Mani was the winner of the season in question.",I don't know,Graft won the season of The Rap Game UK where a contestant named Lady Leshurr as one of her influences.,,,,
The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,reigning monarch of the United Kingdom,The Duke of Wellington's residence and administrative headquarters (Aldershot) in England.,Buckingham Palace,"Buckingham Palace, the residence and administrative headquarters of the reigning monarch of the United Kingdom.",I don't know,Buckingham Palace.,,,,
Mother and daughter duo Indian actresses appear in which type of films,Malayalam movies,Family dramas and romantic dramas.,Malayalam films,"Based on the provided context, the mother and daughter duo Indian actresses appear in Malayalam movies. Subbalakshmi, the mother, is noted for handling grandmother roles in Malayalam films, and her daughter Thara Kalyan is also an actress in Malayalam movies.",I don't know,Bollywood and regional Indian films.,,,,
"Blackamoor, Lancashire lies near the banks of what river?",Ribble,River Lune,"The context does not provide information about a river near Blackamoor, Lancashire. Therefore, the answer is '",River Ribble,The Blackamoor village in Lancashire is located near the banks of the River Ribble.,River Darwen,,,,
Which region of Ghana was the city where Akrofuom is located? ,Ashanti Region of Ghana,Northern Region of Ghana. Akrofuom is located in the Northern Region of Ghana.,Ashanti Region,"The city where Akrofuom is located, Akrofuom, is in the Ashanti Region of Ghana.",I don't know,Ashanti Region.,,,,
Vasily Agapkin's most well-known march was written in honor of what event?,the Slavic women accompanying their husbands in the First Balkan War.,The Feast of the Nativity of Christ (Christmas),The First Balkan War.,"Vasily Agapkin's most well-known march, ""Farewell of Slavianka,"" was written in honor of the Slavic women accompanying their husbands in the First Balkan War.",I don't know,The Balkan Wars.,,,,
"Pawnography, featuring Richard Corey Harrison, is filmed in what shop and town?",Gold & Silver Pawn Shop in Las Vegas,"Pawnography, featuring Richard Corey Harrison, is filmed in the Pawn Stars shop located in Las Vegas, Nevada.","Pawnography is filmed in the Gold and Silver Pawn Shop, located in Las Vegas.","World Famous Gold & Silver Pawn Shop in Las Vegas, Nevada",I don't know,"Gold & Silver Pawn Shop, Las Vegas, Nevada.",,,,
What year was the bank famously opposed by Brendan Bracken for co-operation with Adolf Hitler originally established?,1694,The Bank of England was famously opposed by Brendan Bracken for cooperation with Adolf Hitler. It was originally established in 1694.,The bank was originally established in 1770.,The Bank of England was originally established in 1694.,I don',1930,,,,
 Sir Johnston Forbes-Robertson was considered the finest at playing a character who was the king of which country ?,Prince of Denmark,King of Scotland,I don't know,"Sir Johnston Forbes-Robertson was considered the finest at playing Hamlet, who is not the king of a specific country but a character from Shakespeare's play ""Hamlet."" Hamlet is the Prince of Denmark. So, in the context of the question, he was the finest at playing a character who was the prince of Denmark.",I don't know,Denmark,,,,
Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,University of Kansas,"Embiid, who was the third pick by the Philadelphia 76ers in the 2014 NBA draft, attended Kansas State University before being drafted.","The third pick by the Philadelphia 76ers in the 2014 NBA draft, Benjamin David Simmons, attended Louisiana State University (LSU) before he was drafted.","The third pick by the Philadelphia 76ers in the 2014 NBA draft, Embiid, attended the University of Kansas before he was drafted.",I don't know,University of Kansas,,,,
Were Darby O'Gill and the Little People and Dangal only produced by Walt Disney Pictures?,no,"No, both ""Darby O'Gill and the Little People"" and ""Dangal"" were not exclusively produced by Walt Disney Pictures. ""Darby O'Gill and the Little People"" was produced by Walt Disney Productions, and ""Dangal"" was produced by Yash Raj Films and Walt Disney Studios Motion Pictures.",I don't know,"No, the provided information only mentions that Darby O'Gill and the Little People and The Little Mermaid were released by Walt Disney Pictures. It does not specify that they were the only productions by Walt Disney Pictures. Other productions by Walt Disney Pictures are not detailed in the given context.","Based on the provided context, there is no information available to determine if ""Dar","No, only ""Darby O'Gill and the Little People"" was produced by Walt Disney Pictures. ""Dangal"" was not.",,,,
Double Jeopardy is a 1999 film starring an American political activist best known for an ongoing acting career spanning how long?,more than two decades,"The American political activist who starred in ""Double Jeopardy"" is Susan Sarandon. Her acting career spans over 50 years.",Ashley Judd,More than two decades,I don't know,Over 30 years.,,,,
